Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2019-01-01,47,TN,47037,Davidson County,165054,529090,1855725,527950,467685,217663,291984,250230,55431,21345,15088,4854,3495,47-47037-20190101,0,1
County,2019-01-02,47,TN,47037,Davidson County,130446,563698,2302327,605421,555541,273071,388879,368487,67427,21516,13330,5343,3312,47-47037-20190102,0,1
County,2019-01-03,47,TN,47037,Davidson County,135240,558904,2449973,635826,597492,289708,417959,398014,68276,22703,11921,4921,3153,47-47037-20190103,0,1
County,2019-01-04,47,TN,47037,Davidson County,132303,561841,2452387,624146,597146,299290,423518,395897,68121,23521,12653,5071,3024,47-47037-20190104,0,1
County,2019-01-05,47,TN,47037,Davidson County,135787,558357,2550181,663012,639038,321768,439918,378193,64159,24200,12468,4662,2763,47-47037-20190105,0,1
County,2019-01-06,47,TN,47037,Davidson County,139908,554236,2353677,624068,610447,294141,392520,332519,57811,22102,12678,4615,2776,47-47037-20190106,1,1
County,2019-01-07,47,TN,47037,Davidson County,134462,559682,2404956,646365,589923,282144,412300,370495,64727,20651,11291,4286,2774,47-47037-20190107,1,1
County,2019-01-08,47,TN,47037,Davidson County,135696,558448,2404539,652819,585193,282772,406745,377657,62049,19015,11235,4382,2672,47-47037-20190108,1,1
County,2019-01-09,47,TN,47037,Davidson County,132450,561694,2361086,600756,588130,288341,404148,380451,59579,20282,12441,4145,2813,47-47037-20190109,1,1
County,2019-01-10,47,TN,47037,Davidson County,130209,563935,2443583,626171,598669,292593,416922,402619,65450,21263,12776,4189,2931,47-47037-20190110,1,1
County,2019-01-11,47,TN,47037,Davidson County,126241,567903,2460053,631007,598961,295097,421637,398141,68604,24023,15110,4272,3201,47-47037-20190111,1,1
County,2019-01-12,47,TN,47037,Davidson County,134248,559896,2431949,612216,625708,309470,405384,369631,64374,23796,14207,4348,2815,47-47037-20190112,1,1
County,2019-01-13,47,TN,47037,Davidson County,140875,553269,2254832,575171,593106,287064,378138,317062,60943,22026,14347,4324,2651,47-47037-20190113,2,1
County,2019-01-14,47,TN,47037,Davidson County,133149,560995,2429414,654408,593106,285950,404794,381891,68558,19893,13874,4105,2835,47-47037-20190114,2,1
County,2019-01-15,47,TN,47037,Davidson County,133037,561107,2391587,641478,584829,274032,398230,382295,68194,20552,14609,4686,2682,47-47037-20190115,2,1
County,2019-01-16,47,TN,47037,Davidson County,130937,563207,2398021,625461,577079,282178,402702,397334,71504,19720,14063,4725,3255,47-47037-20190116,2,1
County,2019-01-17,47,TN,47037,Davidson County,130624,563520,2512023,708195,589009,286814,412578,401717,67940,21893,14805,5361,3711,47-47037-20190117,2,1
County,2019-01-18,47,TN,47037,Davidson County,130242,563902,2365420,586706,567858,291119,408962,393555,68908,23623,16246,5107,3336,47-47037-20190118,2,1
County,2019-01-19,47,TN,47037,Davidson County,133424,560720,2448296,639077,608509,306939,411884,367532,67900,23304,15432,4865,2854,47-47037-20190119,2,1
County,2019-01-20,47,TN,47037,Davidson County,146589,547555,2101129,546148,547317,265696,345327,297090,54894,20976,15525,4975,3181,47-47037-20190120,3,1
County,2019-01-21,47,TN,47037,Davidson County,138114,556030,2262206,593894,551206,273502,377142,356777,64174,21853,15285,4678,3695,47-47037-20190121,3,1
County,2021-06-06,47,TN,47037,Davidson County,139319,554825,2231633,676199,557097,304735,354646,242766,49759,19359,19768,4614,2690,47-47037-20210606,23,6
County,2021-06-07,47,TN,47037,Davidson County,131289,562855,2787941,922107,644597,343627,439274,341031,61879,16986,13383,2819,2238,47-47037-20210607,23,6
County,2021-06-08,47,TN,47037,Davidson County,133059,561085,2577025,753617,608156,327379,420071,359805,67318,19929,15991,2599,2160,47-47037-20210608,23,6
County,2021-06-09,47,TN,47037,Davidson County,132728,561416,2434332,668035,570009,310759,420812,357167,67666,18802,16042,2929,2111,47-47037-20210609,23,6
County,2021-06-10,47,TN,47037,Davidson County,131664,562480,2480401,738229,575659,312089,407269,340936,64302,19061,17508,3351,1997,47-47037-20210610,23,6
County,2021-06-11,47,TN,47037,Davidson County,126251,567893,2580894,732531,601791,326940,427394,371030,69692,21975,23206,3909,2426,47-47037-20210611,23,6
County,2021-06-12,47,TN,47037,Davidson County,133172,560972,2377026,671063,573747,318288,384987,308793,67955,23940,22708,3225,2320,47-47037-20210612,23,6
County,2021-06-13,47,TN,47037,Davidson County,140451,553693,2116158,606604,514272,282766,347110,263543,51278,19128,24493,4242,2722,47-47037-20210613,24,6
County,2021-06-14,47,TN,47037,Davidson County,134009,560135,2458423,687977,595305,311371,415481,342522,63135,20013,16567,3407,2645,47-47037-20210614,24,6
County,2021-06-15,47,TN,47037,Davidson County,131071,563073,2666606,804719,626499,330368,433319,367545,66481,16726,15582,3126,2241,47-47037-20210615,24,6
County,2021-06-16,47,TN,47037,Davidson County,134576,559568,2511747,706818,590997,319448,429746,356232,69155,19053,15396,2762,2140,47-47037-20210616,24,6
County,2021-06-17,47,TN,47037,Davidson County,132104,562040,2672975,825384,627285,315565,442107,358261,66223,17938,14870,3158,2184,47-47037-20210617,24,6
County,2021-06-18,47,TN,47037,Davidson County,129103,565041,2601247,740665,605480,319366,439955,375539,67204,22600,23158,4600,2680,47-47037-20210618,24,6
County,2021-06-19,47,TN,47037,Davidson County,133691,560453,2387642,666903,586105,307477,396658,309154,69546,22613,23583,3294,2309,47-47037-20210619,24,6
County,2019-01-22,47,TN,47037,Davidson County,132520,561624,2183100,544567,505916,262875,386329,373695,65337,19466,15840,5470,3605,47-47037-20190122,3,1
County,2019-01-23,47,TN,47037,Davidson County,129845,564299,2247541,601431,527746,261313,383052,364635,63747,19602,16641,5745,3629,47-47037-20190123,3,1
County,2019-01-24,47,TN,47037,Davidson County,132868,561276,2293866,578966,546292,279111,397018,376332,66706,22047,17462,6179,3753,47-47037-20190124,3,1
County,2019-01-25,47,TN,47037,Davidson County,129700,564444,2353716,586369,563653,288430,405224,391131,66537,23922,18298,6048,4104,47-47037-20190125,3,1
County,2019-01-26,47,TN,47037,Davidson County,134688,559456,2396547,614876,598975,297349,403221,366920,64945,23949,16993,5618,3701,47-47037-20190126,3,1
County,2019-01-27,47,TN,47037,Davidson County,144182,549962,2105636,532720,543024,275931,354236,303684,51573,20658,14931,5353,3526,47-47037-20190127,4,1
County,2019-01-28,47,TN,47037,Davidson County,129057,565087,2321789,654561,553741,271668,372627,361220,64286,20705,14595,5197,3189,47-47037-20190128,4,1
County,2019-01-29,47,TN,47037,Davidson County,135834,558310,2179388,587332,527585,253928,364424,342292,61389,19177,14704,5256,3301,47-47037-20190129,4,1
County,2019-01-30,47,TN,47037,Davidson County,132360,561784,2196970,590857,531780,258838,368682,342296,61282,19912,14709,5270,3344,47-47037-20190130,4,1
County,2019-01-31,47,TN,47037,Davidson County,130498,563646,2302707,598958,552860,273026,391043,372645,69072,20909,15399,5279,3516,47-47037-20190131,4,1
County,2019-02-01,47,TN,47037,Davidson County,127009,567135,2389354,601143,582387,297648,401196,387231,71185,23197,16131,5701,3535,47-47037-20190201,4,2
County,2019-02-02,47,TN,47037,Davidson County,134139,560005,2459207,636366,622138,306021,409134,369801,67624,23316,16116,5439,3252,47-47037-20190202,4,2
County,2019-02-03,47,TN,47037,Davidson County,141841,552303,2271480,593607,589587,285606,377204,320319,60117,21237,15363,4973,3467,47-47037-20190203,5,2
County,2019-02-04,47,TN,47037,Davidson County,131815,562329,2290635,600112,553092,272257,384092,365162,68443,21765,16004,5543,4165,47-47037-20190204,5,2
County,2019-02-05,47,TN,47037,Davidson County,135467,558677,2262176,583457,546961,266306,380641,371858,69136,20334,14781,5178,3524,47-47037-20190205,5,2
County,2019-02-06,47,TN,47037,Davidson County,129872,564272,2243637,613176,527102,258291,374313,361014,66123,20189,14548,5180,3701,47-47037-20190206,5,2
County,2019-02-07,47,TN,47037,Davidson County,127858,566286,2260811,595662,526773,263999,382718,371675,69796,23236,16903,5790,4259,47-47037-20190207,5,2
County,2019-02-08,47,TN,47037,Davidson County,128512,565632,2297052,552794,543500,281889,411766,382475,69120,25639,18950,6392,4527,47-47037-20190208,5,2
County,2019-02-09,47,TN,47037,Davidson County,134351,559793,2387098,607250,593156,297770,402636,363554,69718,25238,18012,5953,3811,47-47037-20190209,5,2
County,2019-02-10,47,TN,47037,Davidson County,139875,554269,2143433,543485,543615,277713,363353,304572,59847,22522,17800,6369,4157,47-47037-20190210,6,2
County,2019-02-11,47,TN,47037,Davidson County,128909,565235,2281487,591525,540856,271146,382965,374661,68599,22391,17908,6748,4688,47-47037-20190211,6,2
County,2019-02-12,47,TN,47037,Davidson County,128216,565928,2305162,603972,546877,270678,390116,378436,65024,21083,18375,6471,4130,47-47037-20190212,6,2
County,2019-02-13,47,TN,47037,Davidson County,128162,565982,2361265,601996,557271,279090,405820,395194,70862,21841,18567,6258,4366,47-47037-20190213,6,2
