postal_code,population,income_median_household,eudcation,employment,households,business
37013,96379,61801,29.8,70.2,35483,804
37015,,,,,,
37027,38719,52827,26.4,65.2,15745,722
37076,96379,61810,29.8,70.2,35483,804
37115,39326,66793,36.6,68.5,16614,693
37135,21176,131594,67.6,71.9,6566,281
37138,23631,79182,37.3,64.4,9527,320
37189,3636,80523,39.8,69,1655,53
37201,2448,95353,72.3,65.3,857,369
37203,20429,59406,60.2,72.6,10819,2676
37204,,,,,,
37205,,,,,,
37206,27792,72446,53.3,76.3,12176,660
37207,38719,52827,26.4,65.2,15745,722
37208,21609,54296,42.7,61.2,8114,429
37209,,,,,,
37210,17134,40945,32.1,63.7,7154,1273
37211,,,,,,
37212,22318,78720,70.8,61.4,6896,769
37213,,,,,,
37214,30480,63135,42,70.7,14203,1235
37215,23756,133532,79.5,62.9,10345,1102
37216,,,,,,
37217,,,,,,
37218,14875,48619,24.2,50.7,5877,193
37219,,,,,,
37220,,,,,,
37221,,,,,,
37228,,,,,,
37229,,,,,,
37238,9,,,,,31
37243,,,,,,40
37246,,,,,,3
